symbol,name,sector,industry
A,Agilent Technologies Inc. Common Stock,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock,Industrials,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,Consumer Discretionary,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,Industrials,Consumer Electronics/Appliances
AADI,Aadi Bioscience Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00%,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,,
AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,,
AAMC,Altisource Asset Management Corp Com,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors
AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
AAT,American Assets Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AATC,Autoscope Technologies Corporation Common Stock,Industrials,Industrial Machinery/Components
AAU,Almaden Minerals Ltd. Common Shares,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,Consumer Discretionary,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers
ABB,ABB Ltd Common Stock,Energy,Electrical Products
ABBV,AbbVie Inc. Common Stock,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Health Care,Medicinal Chemicals and Botanical Products
ABCM,Abcam plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,Consumer Discretionary,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,
ABSI,Absci Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,,
ABT,Abbott Laboratories Common Stock,Health Care,Medical/Dental Instruments
ABTX,Allegiance Bancshares Inc. Common Stock,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,Health Care,Medicinal Chemicals and Botanical Products
ABVC,ABVC BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock,Industrials,Engineering & Construction
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACABU,Atlantic Coastal Acquisition Corp. II Unit,Industrials,Consumer Electronics/Appliances
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACACU,Acri Capital Acquisition Corporation Unit,Industrials,Consumer Electronics/Appliances
ACACW,Acri Capital Acquisition Corporation Warrant,Industrials,Consumer Electronics/Appliances
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACAHU,Atlantic Coastal Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACAXR,Alset Capital Acquisition Corp. Right,Industrials,Consumer Electronics/Appliances
ACAXU,Alset Capital Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances
ACB,Aurora Cannabis Inc. Common Shares,Health Care,Medicinal Chemicals and Botanical Products
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Consumer Discretionary,Catalog/Specialty Distribution
ACBAU,Ace Global Business Acquisition Limited Unit,Consumer Discretionary,Catalog/Specialty Distribution
ACBAW,Ace Global Business Acquisition Limited Warrant,Consumer Discretionary,Business Services
ACCD,Accolade Inc. Common Stock,Technology,Interactive Media
ACCO,Acco Brands Corporation Common Stock,Consumer Discretionary,Advertising
ACDI,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,,
ACEL,Accel Entertainment Inc.,Consumer Discretionary,Recreational Games/Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
